History,Actions,Odds,Probabilities
/C:99/P1:raise2/P2:raise2/P1:c,['T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  2.0 ,  2.0],[0.25 ,  0.25 ,  0.25 ,  0.25]
/C:99/P1:raise2/P2:c,['T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  2.0 ,  2.0],[0.25 ,  0.25 ,  0.25 ,  0.25]
/C:99/P1:c/P2:raise2/P1:raise2/P2:c,['T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  2.0 ,  2.0],[0.25 ,  0.25 ,  0.25 ,  0.25]
/C:99/P1:c/P2:raise2/P1:c,['T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  2.0 ,  2.0],[0.25 ,  0.25 ,  0.25 ,  0.25]
/C:99/P1:c/P2:c,['T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  2.0 ,  2.0],[0.25 ,  0.25 ,  0.25 ,  0.25]
/C:9T/P1:raise2/P2:raise2/P1:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[1.0 ,  1.0 ,  2.0 ,  2.0 ,  2.0],[0.125 ,  0.125 ,  0.25 ,  0.25 ,  0.25]
/C:KQ/P1:raise2/P2:raise2/P1:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  2.0 ,  1.0 ,  1.0],[0.25 ,  0.25 ,  0.25 ,  0.125 ,  0.125]
/C:KQ/P1:raise2/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  2.0 ,  1.0 ,  1.0],[0.25 ,  0.25 ,  0.25 ,  0.125 ,  0.125]
/C:KQ/P1:c/P2:raise2/P1:raise2/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  2.0 ,  1.0 ,  1.0],[0.25 ,  0.25 ,  0.25 ,  0.125 ,  0.125]
/C:KQ/P1:c/P2:raise2/P1:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  2.0 ,  1.0 ,  1.0],[0.25 ,  0.25 ,  0.25 ,  0.125 ,  0.125]
/C:KQ/P1:c/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  2.0 ,  1.0 ,  1.0],[0.25 ,  0.25 ,  0.25 ,  0.125 ,  0.125]
/C:KK/P1:raise2/P2:raise2/P1:c,['9' ,  'T' ,  'J' ,  'Q'],[2.0 ,  2.0 ,  2.0 ,  2.0],[0.25 ,  0.25 ,  0.25 ,  0.25]
/C:KK/P1:raise2/P2:c,['9' ,  'T' ,  'J' ,  'Q'],[2.0 ,  2.0 ,  2.0 ,  2.0],[0.25 ,  0.25 ,  0.25 ,  0.25]
/C:KK/P1:c/P2:raise2/P1:raise2/P2:c,['9' ,  'T' ,  'J' ,  'Q'],[2.0 ,  2.0 ,  2.0 ,  2.0],[0.25 ,  0.25 ,  0.25 ,  0.25]
/C:KK/P1:c/P2:raise2/P1:c,['9' ,  'T' ,  'J' ,  'Q'],[2.0 ,  2.0 ,  2.0 ,  2.0],[0.25 ,  0.25 ,  0.25 ,  0.25]
/C:KK/P1:c/P2:c,['9' ,  'T' ,  'J' ,  'Q'],[2.0 ,  2.0 ,  2.0 ,  2.0],[0.25 ,  0.25 ,  0.25 ,  0.25]
/,['99' ,  '9T' ,  '9J' ,  '9Q' ,  '9K' ,  'T9' ,  'TT' ,  'TJ' ,  'TQ' ,  'TK' ,  'J9' ,  'JT' ,  'JJ' ,  'JQ' ,  'JK' ,  'Q9' ,  'QT' ,  'QJ' ,  'QQ' ,  'QK' ,  'K9' ,  'KT' ,  'KJ' ,  'KQ' ,  'KK'],[2.0 ,  4.0 ,  4.0 ,  4.0 ,  4.0 ,  4.0 ,  2.0 ,  4.0 ,  4.0 ,  4.0 ,  4.0 ,  4.0 ,  2.0 ,  4.0 ,  4.0 ,  4.0 ,  4.0 ,  4.0 ,  2.0 ,  4.0 ,  4.0 ,  4.0 ,  4.0 ,  4.0 ,  2.0],[0.022222222222222223 ,  0.044444444444444446 ,  0.044444444444444446 ,  0.044444444444444446 ,  0.044444444444444446 ,  0.044444444444444446 ,  0.022222222222222223 ,  0.044444444444444446 ,  0.044444444444444446 ,  0.044444444444444446 ,  0.044444444444444446 ,  0.044444444444444446 ,  0.022222222222222223 ,  0.044444444444444446 ,  0.044444444444444446 ,  0.044444444444444446 ,  0.044444444444444446 ,  0.044444444444444446 ,  0.022222222222222223 ,  0.044444444444444446 ,  0.044444444444444446 ,  0.044444444444444446 ,  0.044444444444444446 ,  0.044444444444444446 ,  0.022222222222222587]
