Map,Depth,Payoff Vector P1,Player,Sons,Parents,Structure
"[84, 80]",8,"[0.0, 9.0, 0.0, -5.0]",1,[],"[1, 11, 94]",6
[88],8,"[13.0, -9.0]",1,[],"[1, 11, 95]",4
[117],8,"[13.0, 9.0, 9.0, -5.0]",1,[],"[10, 89, 2]",6
[144],8,"[-11.0, 7.0]",2,[],"[6, 121]",18
"[153, 150]",8,"[13.0, 9.0]",2,[],"[7, 119]",23
[167],8,"[-13.0, 9.0]",2,[],"[106, 7]",23
"[207, 197]",8,"[11.0, 7.0]",2,[],"[112, 6]",18
[201],8,"[-11.0, 7.0]",2,[],"[100, 4]",18
[206],8,"[0.0, 9.0]",2,[],"[105, 5]",23
[209],8,"[0.0, 9.0]",2,[],"[5, 105]",23
"[286, 222]",8,"[13.0, 9.0]",2,[],"[3, 114]",23
"[287, 227]",8,"[0.0, 7.0]",2,[],"[109, 8]",18
[231],8,"[-13.0, 9.0]",2,[],"[111, 5]",23
[251],8,"[-13.0, 9.0]",2,[],"[3, 116]",23
[262],8,"[11.0, 7.0]",2,[],"[4, 102]",18
[273],8,"[-11.0, 7.0]",2,[],"[101, 8]",18
[282],8,"[11.0, 7.0]",2,[],"[102, 4]",18
[151],9,"[13.0, 9.0]",2,[],"[6, 29, 157]",24
[152],9,"[-13.0, 9.0]",2,[],"[27, 4, 155]",24
"[284, 156]",9,"[0.0, 9.0]",2,[],"[28, 160, 8]",24
[203],9,"[-13.0, 9.0]",2,[],"[28, 158, 8]",24
"[236, 223]",9,"[13.0, 9.0]",2,[],"[27, 4, 156]",24
[261],9,"[-13.0, 9.0]",2,[],"[6, 29, 167]",24
[281],9,"[13.0, 9.0]",2,[],"[157, 6, 29]",24
